TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,LOCATION,EVENT
1614431013,2021-02-27 13:03:00,22.8333,28.7,30,937.115,2.12187,61,-1.0,Location 1,Qualifying Group 1
1614422760,2021-02-27 10:46:00,22.0,32.7,32,937.454,2.12187,286,-1.0,Location 1,Free Practice 3
1614422820,2021-02-27 10:47:00,22.0,33.0,32,937.42,8.48747,270,-1.0,Location 1,Free Practice 3
1614422885,2021-02-27 10:48:00,21.9444,33.2,32,937.454,4.24374,298,-1.0,Location 1,Free Practice 3
1614422950,2021-02-27 10:49:00,21.9444,33.5,32,937.352,4.24374,309,-1.0,Location 1,Free Practice 3
1614423016,2021-02-27 10:50:00,22.0,33.7,32,937.386,4.24374,294,-1.0,Location 1,Free Practice 3
1614423081,2021-02-27 10:51:00,22.0556,33.9,32,937.42,2.12187,295,-1.0,Location 1,Free Practice 3
1614423145,2021-02-27 10:52:00,22.1111,34.1,32,937.386,1.06093,288,-1.0,Location 1,Free Practice 3
1614423206,2021-02-27 10:53:00,22.1667,34.2,32,937.42,3.1828,331,-1.0,Location 1,Free Practice 3
1614423270,2021-02-27 10:54:00,22.2222,34.4,31,937.454,2.12187,329,-1.0,Location 1,Free Practice 3
1614423331,2021-02-27 10:55:00,22.2778,34.5,31,937.42,3.1828,297,-1.0,Location 1,Free Practice 3
1614423396,2021-02-27 10:56:00,22.2778,34.5,31,937.386,3.1828,277,-1.0,Location 1,Free Practice 3
1614423461,2021-02-27 10:57:00,22.3333,34.7,31,937.352,3.1828,22,-1.0,Location 1,Free Practice 3
1614423526,2021-02-27 10:58:00,22.3333,34.7,31,937.319,2.12187,18,-1.0,Location 1,Free Practice 3
1614423601,2021-02-27 11:00:00,22.3333,34.8,31,937.319,0.0,332,-1.0,Location 1,Free Practice 3
1614423661,2021-02-27 11:01:00,22.3889,34.8,31,937.251,1.06093,332,-1.0,Location 1,Free Practice 3
1614423727,2021-02-27 11:02:00,22.3889,34.9,31,937.217,5.30467,298,-1.0,Location 1,Free Practice 3
1614423792,2021-02-27 11:03:00,22.4444,35.0,31,937.217,2.12187,61,-1.0,Location 1,Free Practice 3
1614423856,2021-02-27 11:04:00,22.4444,35.0,30,937.183,1.06093,348,-1.0,Location 1,Free Practice 3
1614423917,2021-02-27 11:05:00,22.4444,35.1,31,937.149,10.6093,301,-1.0,Location 1,Free Practice 3
1614423982,2021-02-27 11:06:00,22.4444,34.9,30,937.082,2.12187,5,-1.0,Location 1,Free Practice 3
1614424047,2021-02-27 11:07:00,22.4444,34.6,30,937.149,5.30467,314,-1.0,Location 1,Free Practice 3
1614424112,2021-02-27 11:08:00,22.4444,34.1,30,937.115,2.12187,283,-1.0,Location 1,Free Practice 3
1614424177,2021-02-27 11:09:00,22.5,34.1,30,937.082,2.12187,275,-1.0,Location 1,Free Practice 3
1614424237,2021-02-27 11:10:00,22.5,34.2,30,937.115,3.1828,355,-1.0,Location 1,Free Practice 3
1614424302,2021-02-27 11:11:00,22.5556,34.3,30,937.082,3.1828,290,-1.0,Location 1,Free Practice 3
1614424368,2021-02-27 11:12:00,22.6111,34.3,30,937.014,1.06093,304,-1.0,Location 1,Free Practice 3
1614424432,2021-02-27 11:13:00,22.6111,34.3,31,937.082,1.06093,302,-1.0,Location 1,Free Practice 3
1614424493,2021-02-27 11:14:00,22.6667,34.2,30,937.014,2.12187,296,-1.0,Location 1,Free Practice 3
1614424558,2021-02-27 11:15:00,22.7222,34.2,30,937.115,2.12187,296,-1.0,Location 1,Free Practice 3
1614424623,2021-02-27 11:17:00,22.7778,34.3,30,937.082,6.3656,49,-1.0,Location 1,Free Practice 3
1614424688,2021-02-27 11:18:00,22.7778,34.4,30,937.115,4.24374,21,-1.0,Location 1,Free Practice 3
1614424748,2021-02-27 11:19:00,22.7778,34.4,30,937.048,2.12187,5,-1.0,Location 1,Free Practice 3
1614424813,2021-02-27 11:20:00,22.7778,34.5,30,936.98,1.06093,350,-1.0,Location 1,Free Practice 3
1614424878,2021-02-27 11:21:00,22.8333,34.4,30,937.014,2.12187,41,-1.0,Location 1,Free Practice 3
1614424943,2021-02-27 11:22:00,22.8889,34.4,30,937.014,2.12187,58,-1.0,Location 1,Free Practice 3
1614425003,2021-02-27 11:23:00,22.8889,34.4,30,937.048,5.30467,346,-1.0,Location 1,Free Practice 3
1614425069,2021-02-27 11:24:00,22.9444,34.4,30,937.014,2.12187,291,-1.0,Location 1,Free Practice 3
1614425134,2021-02-27 11:25:00,23.0,34.4,30,937.082,4.24374,312,-1.0,Location 1,Free Practice 3
1614425199,2021-02-27 11:26:00,23.0,34.4,30,937.048,5.30467,26,-1.0,Location 1,Free Practice 3
1614425264,2021-02-27 11:27:00,22.9444,33.9,29,937.014,2.12187,51,-1.0,Location 1,Free Practice 3
1614425324,2021-02-27 11:28:00,22.8889,33.6,29,937.082,2.12187,292,-1.0,Location 1,Free Practice 3
1614425389,2021-02-27 11:29:00,22.8333,33.5,30,937.082,2.12187,304,-1.0,Location 1,Free Practice 3
1614431333,2021-02-27 13:08:00,22.9444,28.2,30,936.98,2.12187,99,-1.0,Location 1,Qualifying Group 2
1614431398,2021-02-27 13:09:00,22.9444,28.1,30,937.014,0.0,87,-1.0,Location 1,Qualifying Group 2
1614431464,2021-02-27 13:11:00,23.0,28.0,30,936.946,3.1828,88,-1.0,Location 1,Qualifying Group 2
1614432294,2021-02-27 13:24:00,22.8889,26.8,30,937.014,3.1828,340,-1.0,Location 1,Qualifying Group 4
1614432355,2021-02-27 13:25:00,22.8889,26.8,30,937.048,2.12187,57,-1.0,Location 1,Qualifying Group 4
1614432420,2021-02-27 13:27:00,22.8889,26.7,30,937.014,3.1828,44,-1.0,Location 1,Qualifying Group 4
1614431784,2021-02-27 13:16:00,22.8889,27.5,30,936.98,1.06093,98,-1.0,Location 1,Qualifying Group 3
1614431844,2021-02-27 13:17:00,22.8889,27.4,30,937.048,1.06093,57,-1.0,Location 1,Qualifying Group 3
1614431909,2021-02-27 13:18:00,22.8889,27.3,30,937.014,0.0,56,-1.0,Location 1,Qualifying Group 3
1614431974,2021-02-27 13:19:00,22.8889,27.2,30,936.946,0.0,88,-1.0,Location 1,Qualifying Group 3
1619337619,2021-04-25 08:00:00,14.2222,14.9,87,992.754,0.0,329,-1.0,Location 3,Qualifying Group 1
1619337684,2021-04-25 08:01:00,14.2222,15.0,87,992.889,0.0,329,-1.0,Location 3,Qualifying Group 1
1619337749,2021-04-25 08:02:00,14.2778,15.0,87,992.788,2.12187,284,-1.0,Location 3,Qualifying Group 1
1619337814,2021-04-25 08:03:00,14.2778,15.0,87,992.855,1.06093,283,-1.0,Location 3,Qualifying Group 1
1619330453,2021-04-25 06:00:00,12.2222,12.0,92,992.889,0.0,333,-1.0,Location 3,Free Practice 3
1619330518,2021-04-25 06:01:00,12.2222,12.0,92,992.889,0.0,333,-1.0,Location 3,Free Practice 3
1619330583,2021-04-25 06:03:00,12.2222,12.0,92,992.923,0.0,333,-1.0,Location 3,Free Practice 3
1619330648,2021-04-25 06:04:00,12.2222,12.0,92,992.923,0.0,333,-1.0,Location 3,Free Practice 3
1619330708,2021-04-25 06:05:00,12.2222,12.0,92,992.957,0.0,333,-1.0,Location 3,Free Practice 3
1619330774,2021-04-25 06:06:00,12.2778,12.0,92,992.991,0.0,333,-1.0,Location 3,Free Practice 3
1619330839,2021-04-25 06:07:00,12.2778,11.9,92,993.059,0.0,333,-1.0,Location 3,Free Practice 3
1619330903,2021-04-25 06:08:00,12.2778,11.9,92,992.957,0.0,332,-1.0,Location 3,Free Practice 3
1619330964,2021-04-25 06:09:00,12.2778,11.9,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331029,2021-04-25 06:10:00,12.2778,11.9,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331094,2021-04-25 06:11:00,12.2778,12.0,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331159,2021-04-25 06:12:00,12.2778,12.0,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331219,2021-04-25 06:13:00,12.2778,11.9,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331284,2021-04-25 06:14:00,12.2778,12.0,92,992.957,0.0,332,-1.0,Location 3,Free Practice 3
1619331350,2021-04-25 06:15:00,12.2778,12.0,92,992.822,0.0,332,-1.0,Location 3,Free Practice 3
1619331414,2021-04-25 06:16:00,12.2778,12.0,92,992.754,0.0,332,-1.0,Location 3,Free Practice 3
1619331475,2021-04-25 06:17:00,12.2778,12.0,92,992.788,0.0,332,-1.0,Location 3,Free Practice 3
1619331540,2021-04-25 06:19:00,12.2778,12.0,92,992.754,0.0,332,-1.0,Location 3,Free Practice 3
1619331605,2021-04-25 06:20:00,12.2778,12.0,92,992.822,0.0,332,-1.0,Location 3,Free Practice 3
1619331670,2021-04-25 06:21:00,12.2778,12.0,92,992.822,0.0,332,-1.0,Location 3,Free Practice 3
1619331730,2021-04-25 06:22:00,12.2778,12.0,92,992.855,0.0,332,-1.0,Location 3,Free Practice 3
1619331795,2021-04-25 06:23:00,12.3333,12.0,92,992.855,0.0,332,-1.0,Location 3,Free Practice 3
1619331860,2021-04-25 06:24:00,12.3333,12.0,92,992.822,0.0,332,-1.0,Location 3,Free Practice 3
1619331925,2021-04-25 06:25:00,12.3333,12.0,92,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619331990,2021-04-25 06:26:00,12.3333,12.0,92,992.855,0.0,332,-1.0,Location 3,Free Practice 3
1619332051,2021-04-25 06:27:00,12.3333,12.0,92,992.855,0.0,332,-1.0,Location 3,Free Practice 3
1619332116,2021-04-25 06:28:00,12.3333,12.0,92,992.822,0.0,332,-1.0,Location 3,Free Practice 3
1619332181,2021-04-25 06:29:00,12.3889,12.0,92,992.788,0.0,332,-1.0,Location 3,Free Practice 3
1619332245,2021-04-25 06:30:00,12.3889,12.1,92,992.889,0.0,332,-1.0,Location 3,Free Practice 3
1619332306,2021-04-25 06:31:00,12.3889,12.1,92,993.025,0.0,332,-1.0,Location 3,Free Practice 3
1619332371,2021-04-25 06:32:00,12.3889,12.1,92,992.957,0.0,332,-1.0,Location 3,Free Practice 3
1619332436,2021-04-25 06:33:00,12.3889,12.2,92,992.991,0.0,332,-1.0,Location 3,Free Practice 3
1619332501,2021-04-25 06:35:00,12.3889,12.2,92,993.059,0.0,332,-1.0,Location 3,Free Practice 3
1619332561,2021-04-25 06:36:00,12.4444,12.3,93,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619332626,2021-04-25 06:37:00,12.4444,12.3,93,992.923,0.0,332,-1.0,Location 3,Free Practice 3
1619332692,2021-04-25 06:38:00,12.4444,12.3,93,992.855,0.0,332,-1.0,Location 3,Free Practice 3
1619332756,2021-04-25 06:39:00,12.4444,12.4,92,992.889,0.0,332,-1.0,Location 3,Free Practice 3
1619332817,2021-04-25 06:40:00,12.4444,12.4,92,992.923,0.0,331,-1.0,Location 3,Free Practice 3
1619332882,2021-04-25 06:41:00,12.4444,12.4,92,992.923,0.0,331,-1.0,Location 3,Free Practice 3
1619332947,2021-04-25 06:42:00,12.5,12.4,92,992.889,0.0,331,-1.0,Location 3,Free Practice 3
1619333012,2021-04-25 06:43:00,12.5,12.4,92,992.822,0.0,331,-1.0,Location 3,Free Practice 3
1619333077,2021-04-25 06:44:00,12.5,12.4,92,992.822,0.0,331,-1.0,Location 3,Free Practice 3
1619338135,2021-04-25 08:08:00,14.4444,15.8,87,992.957,2.12187,269,-1.0,Location 3,Qualifying Group 2
1619338200,2021-04-25 08:10:00,14.5,16.0,87,992.889,1.06093,273,-1.0,Location 3,Qualifying Group 2
1619338260,2021-04-25 08:11:00,14.5556,16.1,87,992.991,0.0,360,-1.0,Location 3,Qualifying Group 2
1619339091,2021-04-25 08:24:00,14.7778,17.0,85,992.923,2.12187,266,-1.0,Location 3,Qualifying Group 4
1619339156,2021-04-25 08:25:00,14.7778,17.3,85,992.855,2.12187,267,-1.0,Location 3,Qualifying Group 4
1619339222,2021-04-25 08:27:00,14.7778,17.3,84,992.822,1.06093,265,-1.0,Location 3,Qualifying Group 4
1619338581,2021-04-25 08:16:00,14.6667,16.3,86,992.889,0.0,296,-1.0,Location 3,Qualifying Group 3
1619338646,2021-04-25 08:17:00,14.7222,16.1,86,992.923,0.0,304,-1.0,Location 3,Qualifying Group 3
1619338711,2021-04-25 08:18:00,14.6667,16.0,85,992.991,1.06093,305,-1.0,Location 3,Qualifying Group 3
1619338776,2021-04-25 08:19:00,14.6667,16.0,85,992.889,1.06093,150,-1.0,Location 3,Qualifying Group 3
1627203652,2021-07-25 09:00:00,19.0,19.0,79,1006.0,1.0,329,0.0,Location 7,Qualifying Group 1
1627203712,2021-07-25 09:01:00,19.0,19.0,80,1006.0,11.0,321,0.0,Location 7,Qualifying Group 1
1627203772,2021-07-25 09:02:00,19.0,19.0,79,1006.0,11.0,310,0.0,Location 7,Qualifying Group 1
1627203832,2021-07-25 09:03:00,19.0,19.0,80,1006.0,21.0,313,0.0,Location 7,Qualifying Group 1
1627204133,2021-07-25 09:08:00,19.0,19.0,80,1006.0,14.0,305,0.0,Location 7,Qualifying Group 2
1627204193,2021-07-25 09:09:00,19.0,19.0,80,1006.0,11.0,297,0.0,Location 7,Qualifying Group 2
1627204253,2021-07-25 09:10:00,19.0,19.0,80,1006.0,17.0,316,0.0,Location 7,Qualifying Group 2
1627204313,2021-07-25 09:11:00,19.0,19.0,81,1006.0,0.0,308,0.01,Location 7,Qualifying Group 2
1627205093,2021-07-25 09:24:00,20.0,19.0,78,1006.0,10.0,297,0.0,Location 7,Qualifying Group 4
1627205153,2021-07-25 09:25:00,20.0,19.0,77,1006.0,9.0,316,0.0,Location 7,Qualifying Group 4
1627205213,2021-07-25 09:26:00,19.0,19.0,78,1006.0,8.0,314,0.0,Location 7,Qualifying Group 4
1627205273,2021-07-25 09:27:00,19.0,20.0,78,1006.0,6.0,56,0.0,Location 7,Qualifying Group 4
1627204613,2021-07-25 09:16:00,19.0,19.0,78,1006.0,5.0,282,0.0,Location 7,Qualifying Group 3
1627204673,2021-07-25 09:17:00,19.0,19.0,78,1006.0,0.0,25,0.0,Location 7,Qualifying Group 3
1627204733,2021-07-25 09:18:00,19.0,19.0,79,1006.0,0.0,35,0.0,Location 7,Qualifying Group 3
1627204793,2021-07-25 09:19:00,19.0,19.0,79,1006.0,4.0,94,0.0,Location 7,Qualifying Group 3
1624208415,2021-06-20 17:00:00,2.0,47.0,69,7.0,2.0,228,-1.0,Location 5,Qualifying Group 1
1624208480,2021-06-20 17:01:00,2.0,47.0,69,7.0,31.0,227,-1.0,Location 5,Qualifying Group 1
1624208545,2021-06-20 17:02:00,20.0,47.0,69,7.0,1.0,227,-1.0,Location 5,Qualifying Group 1
1624208610,2021-06-20 17:03:00,2.0,47.0,69,7.0,63.0,216,-1.0,Location 5,Qualifying Group 1
1624198530,2021-06-20 14:15:00,1.0,24.0,86,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198605,2021-06-20 14:16:00,1.0,24.0,86,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198670,2021-06-20 14:17:00,1.0,24.0,86,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198735,2021-06-20 14:18:00,1.0,24.0,86,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198800,2021-06-20 14:20:00,1.0,24.0,85,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198860,2021-06-20 14:21:00,1.0,24.0,85,7.0,2.0,192,-1.0,Location 5,Free Practice 3
1624198925,2021-06-20 14:22:00,1.0,24.0,85,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624198990,2021-06-20 14:23:00,1.0,24.0,85,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624199055,2021-06-20 14:24:00,1.0,24.0,85,7.0,0.0,192,-1.0,Location 5,Free Practice 3
1624199115,2021-06-20 14:25:00,16.0,25.0,85,7.0,2.0,59,-1.0,Location 5,Free Practice 3
