NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT,S1 minutes,S1 seconds,S2 minutes,S2 seconds,S3 minutes,S3 seconds,ELAPSED minutes,ELAPSED seconds,minutes,seconds,S1 Large minutes,S1 Large seconds,S2 Large minutes,S2 Large seconds,S3 Large minutes,S3 Large seconds,PIT_TIME Large minutes,PIT_TIME Large seconds
13,1,4,103,2,Not Available,00:25.544,2,00:33.219,2,00:42.322,2,120.4,08:06.2,23:06.2,00:25.5,00:33.2,00:42.3,ACO,00:00.00,0.0,DSo,245.27729934550464,Location 2,Free Practice 2,0,25.544,0,33.219,0,42.322,8,6.2,23,6.2,0,25.5,0,33.2,0,42.3,0,0.0
13,1,5,78,0,B,00:39.51,0,00:45.266,0,00:58.077,0,85.2,10:29.1,25:29.1,00:39.5,00:45.3,00:58.1,ACO,00:00.00,0.0,DSo,245.27729934550464,Location 2,Free Practice 2,0,39.51,0,45.266,0,58.077,10,29.1,25,29.1,0,39.5,0,45.3,0,58.1,0,0.0
17,1,1,106,0,Not Available,00:52.884,0,00:41.444,0,00:55.136,0,81.4,02:29.5,17:29.5,00:52.9,00:41.4,00:55.1,NVR,00:20.3,0.0,ME,235.0,Location 2,Free Practice 2,0,52.884,0,41.444,0,55.136,2,29.5,17,29.5,0,52.9,0,41.4,0,55.1,0,20.3
17,1,2,118,2,Not Available,00:25.313,2,00:32.681,2,00:41.715,2,122.0,04:09.2,19:09.2,00:25.3,00:32.7,00:41.7,NVR,00:00.00,0.0,ME,250.0,Location 2,Free Practice 2,0,25.313,0,32.681,0,41.715,4,9.2,19,9.2,0,25.3,0,32.7,0,41.7,0,0.0
17,1,3,92,0,Not Available,00:35.204,0,00:40.576,0,00:50.211,0,96.6,06:15.2,21:15.2,00:35.2,00:40.6,00:50.2,NVR,00:00.00,0.0,ME,235.0,Location 2,Free Practice 2,0,35.204,0,40.576,0,50.211,6,15.2,21,15.2,0,35.2,0,40.6,0,50.2,0,0.0
17,1,4,89,0,Not Available,00:26.527,0,00:34.53,0,00:43.179,0,116.7,07:59.4,22:59.4,00:26.5,00:34.5,00:43.2,NVR,00:00.00,0.0,ME,245.27729934550464,Location 2,Free Practice 2,0,26.527,0,34.53,0,43.179,7,59.4,22,59.4,0,26.5,0,34.5,0,43.2,0,0.0
17,1,5,80,0,Not Available,00:26.387,0,00:34.474,0,00:43.214,0,116.9,09:43.5,24:43.5,00:26.4,00:34.5,00:43.2,NVR,00:00.00,0.0,ME,245.27729934550464,Location 2,Free Practice 2,0,26.387,0,34.474,0,43.214,9,43.5,24,43.5,0,26.4,0,34.5,0,43.2,0,0.0
17,1,6,82,0,B,00:26.494,0,01:03.1,0,01:26.7,0,69.0,12:39.8,27:39.8,00:26.5,01:03.1,01:26.7,NVR,00:00.00,0.0,ME,245.27729934550464,Location 2,Free Practice 2,0,26.494,1,3.1,1,26.7,12,39.8,27,39.8,0,26.5,1,3.1,1,26.7,0,0.0
20,1,1,88,0,Not Available,01:10.2,0,00:39.722,0,00:52.226,0,75.0,02:42.2,17:42.2,01:10.2,00:39.7,00:52.2,MEV,00:35.9,0.0,JE,245.27729934550464,Location 2,Free Practice 2,1,10.2,0,39.722,0,52.226,2,42.2,17,42.2,1,10.2,0,39.7,0,52.2,0,35.9
20,1,2,105,0,Not Available,00:27.844,0,00:35.704,0,00:46.69,0,110.4,04:32.4,19:32.4,00:27.8,00:35.7,00:46.7,MEV,00:00.00,0.0,JE,235.0,Location 2,Free Practice 2,0,27.844,0,35.704,0,46.69,4,32.4,19,32.4,0,27.8,0,35.7,0,46.7,0,0.0
20,1,3,104,2,Not Available,00:25.129,2,00:32.851,2,00:42.252,2,121.4,06:12.6,21:12.6,00:25.1,00:32.9,00:42.3,MEV,00:00.00,0.0,JE,235.0,Location 2,Free Practice 2,0,25.129,0,32.851,0,42.252,6,12.6,21,12.6,0,25.1,0,32.9,0,42.3,0,0.0
20,1,4,94,0,Not Available,00:25.674,0,00:39.811,0,00:52.02,0,103.6,08:10.1,23:10.1,00:25.7,00:39.8,00:52.0,MEV,00:00.00,0.0,JE,235.0,Location 2,Free Practice 2,0,25.674,0,39.811,0,52.02,8,10.1,23,10.1,0,25.7,0,39.8,0,52.0,0,0.0
20,1,5,76,0,Not Available,00:25.65,0,00:33.659,0,00:42.323,0,119.7,09:51.8,24:51.8,00:25.6,00:33.7,00:42.3,MEV,00:00.00,0.0,JE,245.27729934550464,Location 2,Free Practice 2,0,25.65,0,33.659,0,42.323,9,51.8,24,51.8,0,25.6,0,33.7,0,42.3,0,0.0
20,1,6,104,0,B,00:28.472,0,01:23.9,0,01:27.3,0,60.9,13:11.4,28:11.4,00:28.5,01:23.9,01:27.3,MEV,00:00.00,0.0,JE,245.27729934550464,Location 2,Free Practice 2,0,28.472,1,23.9,1,27.3,13,11.4,28,11.4,0,28.5,1,23.9,1,27.3,0,0.0
22,1,1,75,0,Not Available,00:47.409,0,00:42.337,0,00:49.873,0,87.2,02:19.6,17:19.6,00:47.4,00:42.3,00:49.9,OROWL,00:15.8,0.0,N ,245.27729934550464,Location 2,Free Practice 2,0,47.409,0,42.337,0,49.873,2,19.6,17,19.6,0,47.4,0,42.3,0,49.9,0,15.8
22,1,2,71,0,Not Available,00:27.728,0,00:38.179,0,00:49.605,0,105.3,04:15.1,19:15.1,00:27.7,00:38.2,00:49.6,OROWL,00:00.00,0.0,N ,235.0,Location 2,Free Practice 2,0,27.728,0,38.179,0,49.605,4,15.1,19,15.1,0,27.7,0,38.2,0,49.6,0,0.0
22,1,3,123,2,Not Available,00:25.435,2,00:32.779,2,00:41.71,2,121.8,05:55.1,20:55.1,00:25.4,00:32.8,00:41.7,OROWL,00:00.00,0.0,N ,250.0,Location 2,Free Practice 2,0,25.435,0,32.779,0,41.71,5,55.1,20,55.1,0,25.4,0,32.8,0,41.7,0,0.0
22,1,4,102,0,Not Available,00:26.8,0,00:34.862,0,00:43.911,0,115.3,07:40.6,22:40.6,00:26.8,00:34.9,00:43.9,OROWL,00:00.00,0.0,N ,235.0,Location 2,Free Practice 2,0,26.8,0,34.862,0,43.911,7,40.6,22,40.6,0,26.8,0,34.9,0,43.9,0,0.0
22,1,5,92,0,Not Available,00:26.84,0,00:34.796,0,00:43.534,0,115.7,09:25.8,24:25.8,00:26.8,00:34.8,00:43.5,OROWL,00:00.00,0.0,N ,245.27729934550464,Location 2,Free Practice 2,0,26.84,0,34.796,0,43.534,9,25.8,24,25.8,0,26.8,0,34.8,0,43.5,0,0.0
22,1,6,182,0,B,00:26.77,0,00:42.221,0,01:27.5,0,77.8,12:02.3,27:02.3,00:26.8,00:42.2,01:27.5,OROWL,00:00.00,0.0,N ,245.27729934550464,Location 2,Free Practice 2,0,26.77,0,42.221,1,27.5,12,2.3,27,2.3,0,26.8,0,42.2,1,27.5,0,0.0
23,1,1,93,0,Not Available,00:47.908,0,00:42.489,0,00:49.993,0,86.7,02:20.4,17:20.4,00:47.9,00:42.5,00:50.0,SBU,00:15.1,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,47.908,0,42.489,0,49.993,2,20.4,17,20.4,0,47.9,0,42.5,0,50.0,0,15.1
23,1,2,76,0,Not Available,00:28.067,0,00:38.914,0,00:48.497,0,105.4,04:15.9,19:15.9,00:28.1,00:38.9,00:48.5,SBU,00:00.00,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,28.067,0,38.914,0,48.497,4,15.9,19,15.9,0,28.1,0,38.9,0,48.5,0,0.0
23,1,3,72,2,Not Available,00:25.808,2,00:33.371,2,00:42.372,2,119.8,05:57.4,20:57.4,00:25.8,00:33.4,00:42.4,SBU,00:00.00,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,25.808,0,33.371,0,42.372,5,57.4,20,57.4,0,25.8,0,33.4,0,42.4,0,0.0
23,1,4,92,0,Not Available,00:26.1,0,00:40.655,0,00:47.849,0,106.2,07:52.0,22:52.0,00:26.1,00:40.7,00:47.8,SBU,00:00.00,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,26.1,0,40.655,0,47.849,7,52.0,22,52.0,0,26.1,0,40.7,0,47.8,0,0.0
23,1,5,89,0,Not Available,00:25.814,0,00:33.602,0,00:42.678,0,119.2,09:34.1,24:34.1,00:25.8,00:33.6,00:42.7,SBU,00:00.00,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,25.814,0,33.602,0,42.678,9,34.1,24,34.1,0,25.8,0,33.6,0,42.7,0,0.0
23,1,6,69,0,B,00:28.306,0,00:47.811,0,01:26.6,0,74.8,12:16.8,27:16.8,00:28.3,00:47.8,01:26.6,SBU,00:00.00,0.0,Nt,245.27729934550464,Location 2,Free Practice 2,0,28.306,0,47.811,1,26.6,12,16.8,27,16.8,0,28.3,0,47.8,1,26.6,0,0.0
28,1,1,102,0,Not Available,02:04.0,0,00:36.698,0,00:46.196,0,58.8,03:26.9,18:26.9,02:04.0,00:36.7,00:46.2,MNT,01:31.6,0.0,BMWl,235.0,Location 2,Free Practice 2,2,4.0,0,36.698,0,46.196,3,26.9,18,26.9,2,4.0,0,36.7,0,46.2,1,31.6
28,1,2,108,3,Not Available,00:25.134,2,00:32.772,2,00:41.611,3,122.3,05:06.4,20:06.4,00:25.1,00:32.8,00:41.6,MNT,00:00.00,0.0,BMWl,250.0,Location 2,Free Practice 2,0,25.134,0,32.772,0,41.611,5,6.4,20,6.4,0,25.1,0,32.8,0,41.6,0,0.0
28,1,3,69,0,Not Available,00:25.42,0,00:33.683,0,00:42.495,0,119.8,06:48.0,21:48.0,00:25.4,00:33.7,00:42.5,MNT,00:00.00,0.0,BMWl,235.0,Location 2,Free Practice 2,0,25.42,0,33.683,0,42.495,6,48.0,21,48.0,0,25.4,0,33.7,0,42.5,0,0.0
28,1,4,130,0,Not Available,00:32.472,0,00:44.432,0,00:50.576,0,95.5,08:55.5,23:55.5,00:32.5,00:44.4,00:50.6,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 2,0,32.472,0,44.432,0,50.576,8,55.5,23,55.5,0,32.5,0,44.4,0,50.6,0,0.0
28,1,5,99,0,B,00:25.844,0,00:33.574,0,01:02.3,0,99.9,10:57.3,25:57.3,00:25.8,00:33.6,01:02.3,MNT,00:00.00,0.0,BMWl,245.27729934550464,Location 2,Free Practice 2,0,25.844,0,33.574,1,2.3,10,57.3,25,57.3,0,25.8,0,33.6,1,2.3,0,0.0
29,1,1,98,0,Not Available,01:28.6,0,00:37.041,0,00:45.745,0,71.0,02:51.4,17:51.4,01:28.6,00:37.0,00:45.7,AS,00:57.8,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,1,28.6,0,37.041,0,45.745,2,51.4,17,51.4,1,28.6,0,37.0,0,45.7,0,57.8
29,1,2,69,0,Not Available,00:27.756,0,00:36.923,0,00:47.285,0,108.7,04:43.3,19:43.3,00:27.8,00:36.9,00:47.3,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,0,27.756,0,36.923,0,47.285,4,43.3,19,43.3,0,27.8,0,36.9,0,47.3,0,0.0
29,1,3,71,2,Not Available,00:26.204,2,00:33.651,2,00:43.407,0,117.8,06:26.6,21:26.6,00:26.2,00:33.7,00:43.4,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,0,26.204,0,33.651,0,43.407,6,26.6,21,26.6,0,26.2,0,33.7,0,43.4,0,0.0
29,1,4,93,0,Not Available,00:26.983,0,00:34.723,0,00:43.658,0,115.5,08:11.9,23:11.9,00:27.0,00:34.7,00:43.7,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,0,26.983,0,34.723,0,43.658,8,11.9,23,11.9,0,27.0,0,34.7,0,43.7,0,0.0
29,1,5,98,0,Not Available,00:26.633,0,00:34.779,0,00:43.317,2,116.2,09:56.7,24:56.7,00:26.6,00:34.8,00:43.3,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,0,26.633,0,34.779,0,43.317,9,56.7,24,56.7,0,26.6,0,34.8,0,43.3,0,0.0
29,1,6,80,0,B,00:36.344,0,01:22.7,0,01:26.9,0,59.1,13:22.6,28:22.6,00:36.3,01:22.7,01:26.9,AS,00:00.00,0.0,MAHINDRAd,245.27729934550464,Location 2,Free Practice 2,0,36.344,1,22.7,1,26.9,13,22.6,28,22.6,0,36.3,1,22.7,1,26.9,0,0.0
33,1,1,77,0,Not Available,01:07.0,0,00:38.091,0,00:56.223,0,75.4,02:41.3,17:41.3,01:07.0,00:38.1,00:56.2,RR,00:34.5,0.0,AR,245.27729934550464,Location 2,Free Practice 2,1,7.0,0,38.091,0,56.223,2,41.3,17,41.3,1,7.0,0,38.1,0,56.2,0,34.5
33,1,2,69,0,Not Available,00:26.736,0,00:34.319,0,00:43.846,0,116.0,04:26.2,19:26.2,00:26.7,00:34.3,00:43.8,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 2,0,26.736,0,34.319,0,43.846,4,26.2,19,26.2,0,26.7,0,34.3,0,43.8,0,0.0
33,1,3,85,0,Not Available,00:26.681,0,00:34.394,0,00:43.297,0,116.6,06:10.6,21:10.6,00:26.7,00:34.4,00:43.3,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 2,0,26.681,0,34.394,0,43.297,6,10.6,21,10.6,0,26.7,0,34.4,0,43.3,0,0.0
33,1,4,48,2,Not Available,00:25.924,0,00:33.538,2,00:42.565,2,119.3,07:52.6,22:52.6,00:25.9,00:33.5,00:42.6,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 2,0,25.924,0,33.538,0,42.565,7,52.6,22,52.6,0,25.9,0,33.5,0,42.6,0,0.0
33,1,5,68,0,B,00:25.873,2,00:35.225,0,00:51.47,0,108.1,09:45.2,24:45.2,00:25.9,00:35.2,00:51.5,RR,00:00.00,0.0,AR,245.27729934550464,Location 2,Free Practice 2,0,25.873,0,35.225,0,51.47,9,45.2,24,45.2,0,25.9,0,35.2,0,51.5,0,0.0
36,1,1,145,0,Not Available,05:50.5,0,00:36.644,0,00:44.646,2,28.2,07:11.7,22:11.7,05:50.5,00:36.6,00:44.6,ALOTTE,05:19.4,0.0,TAG ,245.27729934550464,Location 2,Free Practice 2,5,50.5,0,36.644,0,44.646,7,11.7,22,11.7,5,50.5,0,36.6,0,44.6,5,19.4
36,1,2,71,2,Not Available,00:26.994,0,00:34.866,0,00:49.239,0,109.5,09:02.8,24:02.8,00:27.0,00:34.9,00:49.2,ALOTTE,00:00.00,0.0,TAG ,235.0,Location 2,Free Practice 2,0,26.994,0,34.866,0,49.239,9,2.8,24,2.8,0,27.0,0,34.9,0,49.2,0,0.0
36,1,3,110,0,B,00:25.14,2,00:32.7,2,01:04.9,0,99.1,11:05.6,26:05.6,00:25.1,00:32.7,01:04.9,ALOTTE,00:00.00,0.0,TAG ,250.0,Location 2,Free Practice 2,0,25.14,0,32.7,1,4.9,11,5.6,26,5.6,0,25.1,0,32.7,1,4.9,0,0.0
37,1,1,71,0,Not Available,01:01.5,0,00:39.813,0,00:54.778,0,77.9,02:36.1,17:36.1,01:01.5,00:39.8,00:54.8,N,00:27.5,0.0,EA,235.0,Location 2,Free Practice 2,1,1.5,0,39.813,0,54.778,2,36.1,17,36.1,1,1.5,0,39.8,0,54.8,0,27.5
37,1,2,93,2,Not Available,00:25.202,2,00:32.676,2,00:42.164,2,121.6,04:16.2,19:16.2,00:25.2,00:32.7,00:42.2,N,00:00.00,0.0,EA,235.0,Location 2,Free Practice 2,0,25.202,0,32.676,0,42.164,4,16.2,19,16.2,0,25.2,0,32.7,0,42.2,0,0.0
37,1,3,97,0,B,00:26.422,0,00:36.258,0,00:50.415,0,107.6,06:09.2,21:09.2,00:26.4,00:36.3,00:50.4,N,00:00.00,0.0,EA,245.27729934550464,Location 2,Free Practice 2,0,26.422,0,36.258,0,50.415,6,9.2,21,9.2,0,26.4,0,36.3,0,50.4,0,0.0
4,1,1,105,0,Not Available,01:03.3,0,00:39.207,0,00:55.895,0,76.8,02:38.4,17:38.4,01:03.3,00:39.2,00:55.9,RFRI,00:31.6,0.0,EF,245.27729934550464,Location 2,Free Practice 2,1,3.3,0,39.207,0,55.895,2,38.4,17,38.4,1,3.3,0,39.2,0,55.9,0,31.6
4,1,2,77,2,Not Available,00:25.889,0,00:44.821,0,00:45.447,2,104.8,04:34.5,19:34.5,00:25.9,00:44.8,00:45.4,RFRI,00:00.00,0.0,EF,245.27729934550464,Location 2,Free Practice 2,0,25.889,0,44.821,0,45.447,4,34.5,19,34.5,0,25.9,0,44.8,0,45.4,0,0.0
4,1,3,72,0,B,00:25.712,2,00:33.65,2,00:46.719,0,114.7,06:20.6,21:20.6,00:25.7,00:33.6,00:46.7,RFRI,00:00.00,0.0,EF,245.27729934550464,Location 2,Free Practice 2,0,25.712,0,33.65,0,46.719,6,20.6,21,20.6,0,25.7,0,33.6,0,46.7,0,0.0
4,1,4,89,0,B,04:36.4,0,01:23.2,0,01:27.0,0,27.3,13:47.1,28:47.1,04:36.4,01:23.2,01:27.0,RFRI,03:42.8,0.0,EF,245.27729934550464,Location 2,Free Practice 2,4,36.4,1,23.2,1,27.0,13,47.1,28,47.1,4,36.4,1,23.2,1,27.0,3,42.8
48,1,1,68,0,Not Available,01:12.4,0,00:38.509,0,00:54.387,0,73.6,02:45.3,17:45.3,01:12.4,00:38.5,00:54.4,EMORT,00:40.4,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,1,12.4,0,38.509,0,54.387,2,45.3,17,45.3,1,12.4,0,38.5,0,54.4,0,40.4
48,1,2,81,0,Not Available,00:27.004,0,00:36.045,0,00:44.677,0,113.0,04:33.0,19:33.0,00:27.0,00:36.0,00:44.7,EMORT,00:00.00,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,0,27.004,0,36.045,0,44.677,4,33.0,19,33.0,0,27.0,0,36.0,0,44.7,0,0.0
48,1,3,69,0,Not Available,00:26.513,0,00:35.573,0,00:44.018,0,114.7,06:19.1,21:19.1,00:26.5,00:35.6,00:44.0,EMORT,00:00.00,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,0,26.513,0,35.573,0,44.018,6,19.1,21,19.1,0,26.5,0,35.6,0,44.0,0,0.0
48,1,4,115,2,Not Available,00:26.337,2,00:34.743,2,00:43.282,2,116.6,08:03.4,23:03.4,00:26.3,00:34.7,00:43.3,EMORT,00:00.00,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,0,26.337,0,34.743,0,43.282,8,3.4,23,3.4,0,26.3,0,34.7,0,43.3,0,0.0
48,1,5,93,0,Not Available,00:29.036,0,00:40.546,0,00:51.842,0,100.2,10:04.9,25:04.9,00:29.0,00:40.5,00:51.8,EMORT,00:00.00,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,0,29.036,0,40.546,0,51.842,10,4.9,25,4.9,0,29.0,0,40.5,0,51.8,0,0.0
48,1,6,112,0,B,00:49.813,0,01:22.6,0,01:26.9,0,55.5,13:44.2,28:44.2,00:49.8,01:22.6,01:26.9,EMORT,00:00.00,0.0,ROKo,245.27729934550464,Location 2,Free Practice 2,0,49.813,1,22.6,1,26.9,13,44.2,28,44.2,0,49.8,1,22.6,1,26.9,0,0.0
5,1,1,114,0,Not Available,00:54.776,0,00:42.41,0,00:55.797,0,79.5,02:33.0,17:33.0,00:54.8,00:42.4,00:55.8,SVANDOO,00:23.0,0.0,Ml,235.0,Location 2,Free Practice 2,0,54.776,0,42.41,0,55.797,2,33.0,17,33.0,0,54.8,0,42.4,0,55.8,0,23.0
5,1,2,100,2,Not Available,00:25.197,2,00:32.605,3,00:42.098,2,121.8,04:12.9,19:12.9,00:25.2,00:32.6,00:42.1,SVANDOO,00:00.00,0.0,Ml,250.0,Location 2,Free Practice 2,0,25.197,0,32.605,0,42.098,4,12.9,19,12.9,0,25.2,0,32.6,0,42.1,0,0.0
5,1,3,84,0,Not Available,00:34.31,0,00:39.865,0,00:51.36,0,96.9,06:18.4,21:18.4,00:34.3,00:39.9,00:51.4,SVANDOO,00:00.00,0.0,Ml,235.0,Location 2,Free Practice 2,0,34.31,0,39.865,0,51.36,6,18.4,21,18.4,0,34.3,0,39.9,0,51.4,0,0.0
5,1,4,156,0,Not Available,00:26.366,0,00:34.156,0,00:42.992,0,117.5,08:01.9,23:01.9,00:26.4,00:34.2,00:43.0,SVANDOO,00:00.00,0.0,Ml,245.27729934550464,Location 2,Free Practice 2,0,26.366,0,34.156,0,42.992,8,1.9,23,1.9,0,26.4,0,34.2,0,43.0,0,0.0
5,1,5,89,0,Not Available,00:26.431,0,00:34.063,0,00:42.986,0,117.6,09:45.4,24:45.4,00:26.4,00:34.1,00:43.0,SVANDOO,00:00.00,0.0,Ml,245.27729934550464,Location 2,Free Practice 2,0,26.431,0,34.063,0,42.986,9,45.4,24,45.4,0,26.4,0,34.1,0,43.0,0,0.0
5,1,6,92,0,B,00:26.486,0,01:12.3,0,01:26.3,0,65.7,12:50.5,27:50.5,00:26.5,01:12.3,01:26.3,SVANDOO,00:00.00,0.0,Ml,245.27729934550464,Location 2,Free Practice 2,0,26.486,1,12.3,1,26.3,12,50.5,27,50.5,0,26.5,1,12.3,1,26.3,0,0.0
6,1,1,71,0,Not Available,01:37.1,0,00:37.607,0,00:49.919,0,65.9,03:04.6,18:04.6,01:37.1,00:37.6,00:49.9,NL,01:06.5,0.0,DRAGONÃ,235.0,Location 2,Free Practice 2,1,37.1,0,37.607,0,49.919,3,4.6,18,4.6,1,37.1,0,37.6,0,49.9,1,6.5
6,1,2,83,2,Not Available,00:25.378,2,00:32.715,2,00:41.868,2,121.7,04:44.6,19:44.6,00:25.4,00:32.7,00:41.9,NL,00:00.00,0.0,DRAGONÃ,250.0,Location 2,Free Practice 2,0,25.378,0,32.715,0,41.868,4,44.6,19,44.6,0,25.4,0,32.7,0,41.9,0,0.0
6,1,3,105,0,Not Available,00:26.526,0,00:34.584,0,00:47.847,0,111.7,06:33.5,21:33.5,00:26.5,00:34.6,00:47.8,NL,00:00.00,0.0,DRAGONÃ,235.0,Location 2,Free Practice 2,0,26.526,0,34.584,0,47.847,6,33.5,21,33.5,0,26.5,0,34.6,0,47.8,0,0.0
6,1,4,87,0,Not Available,00:26.642,0,00:34.251,0,00:44.425,0,115.5,08:18.8,23:18.8,00:26.6,00:34.3,00:44.4,NL,00:00.00,0.0,DRAGONÃ,245.27729934550464,Location 2,Free Practice 2,0,26.642,0,34.251,0,44.425,8,18.8,23,18.8,0,26.6,0,34.3,0,44.4,0,0.0
6,1,5,74,0,B,00:26.757,0,00:34.143,0,00:51.422,0,108.3,10:11.2,25:11.2,00:26.8,00:34.1,00:51.4,NL,00:00.00,0.0,DRAGONÃ,245.27729934550464,Location 2,Free Practice 2,0,26.757,0,34.143,0,51.422,10,11.2,25,11.2,0,26.8,0,34.1,0,51.4,0,0.0
7,1,1,74,0,Not Available,01:27.5,0,00:37.47,0,00:52.594,0,68.5,02:57.6,17:57.6,01:27.5,00:37.5,00:52.6,SM,00:57.2,0.0,DRAGONo,235.0,Location 2,Free Practice 2,1,27.5,0,37.47,0,52.594,2,57.6,17,57.6,1,27.5,0,37.5,0,52.6,0,57.2
